Crime ID,Date & Time,Latitude,Longitude,Crime Type,Severity,Police Station Jurisdiction,Weather,Population Density,Proximity to Landmark (meters),Time of Day,Day of the Week,Holiday/Non-Holiday,Recurring Crime Location,Victim Age Group,Suspect Age Group,Weapon Involved,Arrest Made,Criminal Record Found,Number of Victims,Emergency Response Time (minutes),Crime Recorded by CCTV,Witnesses Present,Area Type,Economic Status of Area,Traffic Density,Nearby Facilities,Reporting Time (minutes)
11,1/13/2025 13:31,28.4748,76.4026,Robbery,High,Collinsbury,Cloudy,5483,291,Afternoon,Tuesday,Non-Holiday,FALSE,60+,26-40,FALSE,TRUE,TRUE,4,5,FALSE,4,Suburban,Middle-income,Medium,Hospital,43
12,1/3/2025 0:17,26.9025,73.2384,Theft,Low,Murphymouth,Clear,23978,1606,Morning,Saturday,Non-Holiday,TRUE,18-25,60+,TRUE,TRUE,TRUE,2,7,TRUE,10,Urban,Middle-income,Low,Hospital,16
13,1/1/2025 15:34,25.3681,72.3179,Robbery,Medium,South Aprilview,Cloudy,24125,1257,Evening,Wednesday,Holiday,FALSE,26-40,41-60,FALSE,TRUE,FALSE,4,15,TRUE,0,Suburban,High-income,High,School,5
14,1/1/2025 15:49,24.914,76.0471,Assault,Medium,Port Mary,Clear,13004,856,Evening,Tuesday,Non-Holiday,FALSE,18-25,41-60,TRUE,TRUE,FALSE,1,8,TRUE,4,Suburban,High-income,Low,Train Station,14
15,1/2/2025 5:52,26.5625,78.8233,Burglary,Medium,Harrisshire,Rainy,6664,289,Night,Sunday,Non-Holiday,TRUE,18-25,41-60,TRUE,FALSE,TRUE,4,22,FALSE,8,Urban,Low-income,Low,Mall,35
16,1/17/2025 12:28,19.3963,74.9537,Burglary,Low,South Stephenshire,Rainy,9176,185,Evening,Wednesday,Holiday,FALSE,26-40,26-40,TRUE,FALSE,FALSE,5,28,TRUE,3,Urban,Low-income,Medium,School,12
17,1/12/2025 21:20,27.1022,74.6575,Vandalism,High,New Danielletown,Cloudy,13131,646,Afternoon,Sunday,Holiday,FALSE,18-25,60+,TRUE,TRUE,FALSE,3,14,TRUE,3,Urban,High-income,Low,Park,22
18,1/17/2025 4:12,22.0646,72.5554,Theft,Medium,Port Peterchester,Cloudy,21692,918,Evening,Monday,Holiday,FALSE,26-40,41-60,TRUE,TRUE,FALSE,3,28,FALSE,6,Rural,High-income,Low,Park,58
19,1/11/2025 6:45,25.3425,74.0378,Fraud,Medium,Thompsonbury,Clear,22036,1995,Afternoon,Wednesday,Non-Holiday,TRUE,41-60,41-60,TRUE,FALSE,FALSE,4,15,FALSE,4,Rural,Low-income,Low,Park,43
20,1/7/2025 2:13,29.344,77.4185,Assault,High,Kayleeton,Cloudy,14861,931,Morning,Wednesday,Non-Holiday,TRUE,60+,41-60,FALSE,FALSE,FALSE,2,21,FALSE,2,Rural,Low-income,Medium,Hospital,43
21,1/16/2025 21:20,25.9623,74.6815,Assault,High,Kathleenstad,Rainy,12361,1751,Afternoon,Tuesday,Holiday,TRUE,26-40,60+,TRUE,FALSE,FALSE,5,11,FALSE,7,Suburban,Low-income,Low,School,58
22,1/14/2025 19:44,27.2606,78.1604,Robbery,Medium,North Aliciastad,Clear,10763,1746,Night,Monday,Holiday,TRUE,60+,26-40,FALSE,FALSE,FALSE,5,28,FALSE,8,Suburban,Low-income,High,Park,29
23,1/19/2025 7:28,21.8511,73.9779,Fraud,Medium,South Brian,Cloudy,20879,1383,Afternoon,Wednesday,Non-Holiday,TRUE,41-60,26-40,FALSE,FALSE,FALSE,5,7,TRUE,2,Urban,Middle-income,High,Mall,46
24,1/16/2025 15:05,21.3535,75.3189,Theft,High,Whitefort,Rainy,18624,227,Afternoon,Sunday,Non-Holiday,FALSE,18-25,60+,FALSE,TRUE,FALSE,3,29,FALSE,6,Rural,High-income,High,Hospital,52
25,1/8/2025 21:43,25.6358,73.7643,Assault,Medium,Davisport,Rainy,20913,159,Night,Wednesday,Non-Holiday,TRUE,60+,26-40,TRUE,FALSE,TRUE,1,25,FALSE,2,Suburban,Low-income,Low,Train Station,25
26,1/19/2025 7:42,22.6009,75.6376,Theft,Medium,Thomasborough,Rainy,18813,616,Morning,Thursday,Holiday,TRUE,41-60,26-40,TRUE,TRUE,TRUE,2,11,TRUE,9,Urban,Low-income,Low,Park,43
27,1/17/2025 13:26,20.2583,79.5821,Vandalism,High,Port Latoyaview,Rainy,17087,443,Morning,Sunday,Holiday,FALSE,18-25,18-25,FALSE,FALSE,FALSE,2,7,TRUE,1,Rural,Middle-income,High,Hospital,52
28,1/20/2025 0:18,20.3316,79.8708,Robbery,Medium,Cameronhaven,Cloudy,19037,1454,Evening,Monday,Non-Holiday,TRUE,60+,60+,TRUE,FALSE,FALSE,4,27,TRUE,6,Urban,High-income,High,Train Station,40
29,1/15/2025 2:57,27.8902,76.3054,Vandalism,Medium,South Douglas,Rainy,24414,649,Evening,Sunday,Holiday,TRUE,41-60,60+,TRUE,FALSE,FALSE,3,5,FALSE,5,Urban,Middle-income,Low,Train Station,52
30,1/4/2025 22:17,21.8419,74.2373,Burglary,High,North Charles,Rainy,23212,120,Afternoon,Monday,Holiday,FALSE,60+,26-40,FALSE,FALSE,FALSE,1,7,FALSE,3,Suburban,High-income,Low,Train Station,43
31,1/10/2025 9:27,25.3971,75.7861,Burglary,Medium,Maryville,Rainy,23035,777,Evening,Saturday,Non-Holiday,FALSE,41-60,41-60,TRUE,TRUE,TRUE,3,8,TRUE,3,Urban,High-income,Medium,Train Station,47
32,1/8/2025 17:28,25.4855,78.0817,Burglary,Medium,Amandashire,Clear,11360,706,Afternoon,Wednesday,Holiday,FALSE,18-25,26-40,FALSE,TRUE,TRUE,5,14,TRUE,10,Suburban,Low-income,Low,Hospital,19
33,1/16/2025 10:21,24.1634,75.5238,Assault,Low,Smithhaven,Rainy,20654,333,Morning,Thursday,Non-Holiday,TRUE,18-25,26-40,TRUE,FALSE,TRUE,2,8,FALSE,9,Rural,High-income,Low,Hospital,25
34,1/18/2025 0:07,23.9557,75.5418,Burglary,Medium,South Clarence,Rainy,23632,1371,Morning,Friday,Holiday,TRUE,26-40,41-60,TRUE,TRUE,TRUE,2,22,TRUE,2,Urban,Middle-income,Medium,Hospital,31
35,1/18/2025 6:33,22.2039,73.8518,Fraud,Medium,Sanchezport,Cloudy,19877,245,Afternoon,Wednesday,Holiday,FALSE,18-25,26-40,TRUE,FALSE,TRUE,1,6,TRUE,4,Rural,High-income,High,Train Station,29
36,1/1/2025 16:06,20.3679,77.5094,Fraud,Medium,Lake Timothyburgh,Rainy,21399,1205,Night,Thursday,Holiday,TRUE,60+,41-60,FALSE,TRUE,TRUE,2,26,TRUE,10,Suburban,High-income,Low,Mall,31
37,1/8/2025 12:38,24.7086,75.5378,Theft,Low,New Kathleenshire,Cloudy,19283,1400,Night,Monday,Non-Holiday,FALSE,60+,41-60,FALSE,TRUE,TRUE,3,18,FALSE,4,Rural,Middle-income,High,School,30
38,1/16/2025 8:37,19.9687,74.0192,Robbery,Medium,North Cynthia,Cloudy,5037,1446,Night,Thursday,Holiday,TRUE,41-60,60+,FALSE,TRUE,TRUE,3,22,TRUE,4,Suburban,High-income,Medium,School,2
39,1/18/2025 8:15,29.7046,76.871,Assault,High,Mcdanielstad,Clear,15182,1228,Morning,Friday,Non-Holiday,TRUE,26-40,18-25,FALSE,TRUE,TRUE,4,27,FALSE,8,Rural,Middle-income,Medium,Park,31
40,1/1/2025 14:22,21.681,76.4101,Vandalism,Low,South Christopher,Cloudy,21654,1628,Afternoon,Sunday,Holiday,FALSE,60+,41-60,FALSE,TRUE,FALSE,3,23,FALSE,2,Suburban,High-income,Medium,Train Station,22
41,1/1/2025 8:26,25.0711,76.3474,Vandalism,Medium,Dawnhaven,Clear,12825,1271,Night,Tuesday,Non-Holiday,TRUE,41-60,60+,FALSE,FALSE,TRUE,4,6,TRUE,8,Rural,Middle-income,Low,Park,7
42,1/1/2025 21:01,24.7855,75.6554,Fraud,Low,East Robertside,Rainy,10058,253,Night,Sunday,Non-Holiday,FALSE,60+,18-25,FALSE,FALSE,FALSE,4,22,TRUE,9,Urban,Low-income,High,Train Station,15
43,1/19/2025 14:25,27.2144,75.4718,Robbery,High,Ashleymouth,Cloudy,8293,1008,Afternoon,Saturday,Non-Holiday,TRUE,18-25,41-60,TRUE,FALSE,FALSE,3,18,TRUE,3,Rural,Middle-income,High,Mall,11
44,1/1/2025 3:27,20.9258,76.8759,Vandalism,High,Stricklandton,Cloudy,12891,1119,Afternoon,Tuesday,Non-Holiday,FALSE,60+,41-60,TRUE,FALSE,FALSE,5,10,TRUE,7,Suburban,High-income,Medium,Park,45
45,1/1/2025 11:13,21.7511,78.7624,Assault,Medium,Garciaton,Rainy,8494,585,Night,Friday,Non-Holiday,FALSE,41-60,18-25,FALSE,FALSE,TRUE,5,26,TRUE,9,Rural,Middle-income,Medium,Mall,39
46,1/13/2025 19:27,27.8213,73.752,Assault,High,New Craig,Rainy,9481,1386,Morning,Saturday,Holiday,FALSE,60+,18-25,FALSE,TRUE,TRUE,3,15,FALSE,2,Urban,Low-income,High,Train Station,34
47,1/15/2025 9:46,24.5197,74.1802,Assault,Medium,Thomasfurt,Rainy,14671,1628,Evening,Sunday,Holiday,FALSE,18-25,26-40,TRUE,FALSE,FALSE,1,30,FALSE,0,Suburban,High-income,Low,Park,24
48,1/4/2025 2:26,26.4011,77.3787,Burglary,Medium,West Abigailborough,Cloudy,17172,321,Afternoon,Thursday,Holiday,FALSE,26-40,18-25,FALSE,FALSE,FALSE,1,9,TRUE,0,Suburban,Middle-income,Low,School,16
49,1/6/2025 9:37,28.7599,73.0853,Vandalism,Medium,West Kevinfort,Cloudy,22701,958,Afternoon,Thursday,Holiday,FALSE,60+,41-60,TRUE,FALSE,TRUE,4,19,TRUE,5,Urban,High-income,Medium,Hospital,58
50,1/15/2025 18:59,29.7563,74.8694,Vandalism,Medium,Debrafort,Clear,9002,1836,Night,Monday,Holiday,TRUE,18-25,41-60,TRUE,TRUE,TRUE,1,29,TRUE,9,Urban,Low-income,Medium,Mall,51
51,1/3/2025 0:23,28.9058,72.0227,Assault,Low,New Richardmouth,Cloudy,13213,1735,Afternoon,Monday,Holiday,TRUE,18-25,41-60,TRUE,FALSE,TRUE,2,13,TRUE,2,Rural,Middle-income,High,School,48
52,1/14/2025 7:03,19.6991,75.5862,Theft,High,Moranbury,Cloudy,8573,1025,Afternoon,Friday,Holiday,FALSE,60+,18-25,TRUE,FALSE,FALSE,4,26,TRUE,7,Rural,Middle-income,Low,School,21
53,1/18/2025 4:55,25.6913,72.5255,Theft,High,Port Christina,Cloudy,24181,1223,Evening,Thursday,Non-Holiday,FALSE,60+,18-25,TRUE,TRUE,FALSE,4,12,FALSE,5,Suburban,Middle-income,Medium,School,21
54,1/2/2025 15:40,23.6944,77.3209,Theft,Low,Port Charles,Cloudy,20540,237,Morning,Sunday,Holiday,TRUE,60+,18-25,FALSE,TRUE,TRUE,5,22,FALSE,10,Urban,Middle-income,Medium,Park,56
55,1/14/2025 12:29,29.0743,72.4116,Theft,High,Flowersmouth,Rainy,16522,312,Afternoon,Tuesday,Non-Holiday,TRUE,18-25,41-60,FALSE,TRUE,FALSE,5,12,FALSE,8,Rural,High-income,High,Hospital,2
56,1/16/2025 20:23,25.6989,77.2626,Fraud,Medium,Contrerasstad,Clear,10911,659,Evening,Wednesday,Non-Holiday,TRUE,26-40,26-40,FALSE,TRUE,TRUE,1,7,TRUE,6,Suburban,Middle-income,Medium,Mall,24
57,1/8/2025 19:03,22.428,74.5951,Burglary,High,East Josephmouth,Clear,6723,418,Afternoon,Sunday,Holiday,TRUE,41-60,60+,FALSE,FALSE,FALSE,4,13,TRUE,8,Urban,Middle-income,Medium,School,19
58,1/16/2025 3:56,26.4604,76.7451,Burglary,High,West Jamieton,Rainy,6488,551,Night,Friday,Holiday,TRUE,26-40,41-60,TRUE,TRUE,FALSE,3,15,TRUE,0,Suburban,High-income,Medium,Mall,9
59,1/17/2025 2:15,23.1823,77.6294,Burglary,High,Ryanstad,Cloudy,16605,247,Night,Sunday,Holiday,FALSE,18-25,60+,TRUE,FALSE,FALSE,5,17,FALSE,4,Urban,Middle-income,Low,Train Station,11
60,1/8/2025 0:57,27.8145,76.945,Fraud,Medium,Markborough,Clear,19310,1829,Morning,Tuesday,Non-Holiday,FALSE,18-25,60+,FALSE,FALSE,TRUE,3,29,TRUE,1,Rural,High-income,Low,Hospital,33
61,1/14/2025 21:08,21.1329,78.2098,Theft,High,Lake Carlhaven,Cloudy,9839,583,Morning,Tuesday,Non-Holiday,TRUE,26-40,26-40,TRUE,TRUE,FALSE,4,29,FALSE,10,Rural,High-income,High,Hospital,21
62,1/6/2025 19:31,28.5067,77.0177,Assault,Medium,South Jessica,Clear,20365,1005,Evening,Sunday,Non-Holiday,TRUE,41-60,18-25,FALSE,FALSE,FALSE,1,6,FALSE,4,Urban,High-income,Low,Hospital,39
63,1/19/2025 23:17,24.5777,75.7017,Burglary,High,New Darleneport,Clear,19736,1961,Afternoon,Wednesday,Non-Holiday,TRUE,18-25,60+,TRUE,FALSE,TRUE,5,25,TRUE,0,Urban,High-income,Medium,Park,34
64,1/15/2025 11:49,24.7502,73.27,Theft,Medium,Cynthiashire,Rainy,18394,1686,Evening,Saturday,Holiday,FALSE,18-25,41-60,TRUE,FALSE,FALSE,3,28,TRUE,5,Urban,High-income,High,Mall,59
65,1/6/2025 14:19,22.848,79.7416,Fraud,High,East Hunter,Rainy,9225,1318,Morning,Wednesday,Non-Holiday,FALSE,26-40,18-25,FALSE,FALSE,TRUE,3,14,TRUE,3,Suburban,Middle-income,Low,Mall,9
66,1/6/2025 12:12,20.7044,74.3663,Robbery,High,East Jasonbury,Cloudy,22253,177,Evening,Sunday,Holiday,FALSE,26-40,26-40,TRUE,TRUE,FALSE,1,18,FALSE,10,Rural,Low-income,Medium,Hospital,19
67,1/6/2025 7:53,27.2763,78.2704,Assault,High,Lake Brendastad,Clear,15140,1756,Night,Sunday,Holiday,FALSE,60+,60+,FALSE,FALSE,FALSE,2,11,TRUE,4,Urban,High-income,Medium,Train Station,36
68,1/14/2025 19:00,29.2772,77.6912,Burglary,Low,Christinemouth,Rainy,7748,1662,Afternoon,Wednesday,Non-Holiday,TRUE,60+,18-25,TRUE,FALSE,FALSE,1,18,TRUE,6,Rural,Middle-income,Low,Park,6
69,1/11/2025 20:31,23.124,72.2255,Robbery,High,New Veronicatown,Cloudy,15986,1720,Afternoon,Tuesday,Holiday,FALSE,60+,26-40,FALSE,FALSE,TRUE,1,5,FALSE,3,Urban,High-income,High,Hospital,34
70,1/5/2025 11:48,23.6558,78.2094,Assault,Medium,Blanchardton,Clear,6564,588,Night,Saturday,Non-Holiday,TRUE,18-25,60+,TRUE,TRUE,TRUE,3,18,TRUE,9,Suburban,Low-income,High,Park,12
71,1/16/2025 13:05,26.3081,72.6849,Theft,Low,Cynthiaside,Cloudy,22828,1139,Morning,Thursday,Non-Holiday,TRUE,60+,41-60,FALSE,TRUE,FALSE,1,16,TRUE,10,Rural,Low-income,High,Train Station,9
72,1/10/2025 8:49,19.4877,76.3681,Fraud,Low,West Saratown,Cloudy,20224,1524,Night,Saturday,Holiday,TRUE,18-25,60+,TRUE,FALSE,TRUE,1,30,TRUE,0,Suburban,Middle-income,High,Park,53
73,1/2/2025 17:55,24.9733,74.0265,Fraud,Low,Port Rachel,Rainy,16697,1865,Morning,Sunday,Non-Holiday,FALSE,18-25,41-60,FALSE,FALSE,FALSE,4,15,TRUE,7,Rural,Middle-income,Medium,Hospital,18
74,1/8/2025 13:38,27.8126,77.8167,Robbery,Medium,South Timothystad,Cloudy,10913,1217,Evening,Wednesday,Holiday,TRUE,41-60,41-60,FALSE,FALSE,FALSE,2,27,FALSE,5,Suburban,Low-income,High,Train Station,40
75,1/3/2025 19:41,29.9797,74.1964,Robbery,Low,Lake Stephanie,Cloudy,18310,844,Afternoon,Monday,Holiday,FALSE,18-25,26-40,TRUE,TRUE,FALSE,3,17,TRUE,9,Urban,High-income,Medium,Train Station,24
76,1/6/2025 10:12,23.8833,72.6151,Assault,High,Ericberg,Rainy,18042,743,Evening,Tuesday,Holiday,TRUE,26-40,60+,FALSE,TRUE,FALSE,3,27,FALSE,3,Rural,Middle-income,High,Park,13
77,1/11/2025 21:08,20.349,78.8226,Vandalism,Low,New Jasminefort,Cloudy,19585,279,Evening,Saturday,Non-Holiday,TRUE,41-60,41-60,TRUE,TRUE,FALSE,5,12,TRUE,3,Urban,Low-income,Medium,School,24
78,1/6/2025 16:58,25.0942,74.9513,Burglary,Low,Bobbyland,Cloudy,7825,234,Evening,Thursday,Non-Holiday,FALSE,60+,18-25,TRUE,FALSE,TRUE,4,19,FALSE,2,Rural,High-income,High,Mall,50
79,1/19/2025 15:40,29.6289,75.4609,Robbery,Low,Debbieside,Cloudy,10014,722,Afternoon,Tuesday,Non-Holiday,TRUE,41-60,41-60,TRUE,FALSE,TRUE,5,13,TRUE,10,Suburban,High-income,High,School,33
80,1/11/2025 5:30,26.0509,76.7345,Burglary,Low,Millerburgh,Clear,24829,791,Morning,Sunday,Holiday,TRUE,18-25,41-60,TRUE,FALSE,TRUE,4,25,FALSE,10,Suburban,Middle-income,Low,Park,20
81,1/5/2025 22:36,23.989,77.5089,Assault,Medium,South Emilyfort,Rainy,20867,1051,Afternoon,Wednesday,Holiday,FALSE,41-60,41-60,FALSE,TRUE,FALSE,5,22,TRUE,5,Urban,Middle-income,Low,Train Station,29
82,1/16/2025 23:47,21.7271,72.7745,Theft,Medium,Simonfurt,Cloudy,18701,608,Afternoon,Sunday,Non-Holiday,FALSE,26-40,26-40,FALSE,FALSE,FALSE,3,20,TRUE,1,Suburban,High-income,Medium,Mall,14
83,1/12/2025 15:25,25.4168,72.3893,Theft,Medium,Coxton,Cloudy,20420,685,Morning,Sunday,Holiday,FALSE,26-40,41-60,FALSE,FALSE,FALSE,1,17,TRUE,9,Rural,Low-income,Medium,Hospital,19
84,1/6/2025 2:16,19.8088,76.034,Burglary,Medium,Derekfurt,Cloudy,8893,363,Morning,Thursday,Non-Holiday,FALSE,41-60,26-40,TRUE,FALSE,TRUE,1,6,TRUE,5,Suburban,High-income,Medium,Mall,39
85,1/16/2025 4:16,28.8244,73.1182,Burglary,Medium,Sheriberg,Clear,17876,1362,Evening,Friday,Non-Holiday,FALSE,41-60,60+,TRUE,FALSE,FALSE,1,18,FALSE,10,Urban,High-income,Medium,Train Station,42
86,1/3/2025 6:12,27.6119,78.2093,Burglary,Low,Patrickmouth,Cloudy,6682,1295,Night,Tuesday,Non-Holiday,TRUE,26-40,18-25,TRUE,TRUE,TRUE,4,15,FALSE,2,Suburban,High-income,Low,Park,33
87,1/12/2025 5:29,27.5247,79.3642,Fraud,High,West Mariefort,Clear,9524,1162,Afternoon,Friday,Non-Holiday,FALSE,60+,41-60,TRUE,FALSE,FALSE,5,16,FALSE,9,Suburban,Low-income,Low,Train Station,36
88,1/11/2025 13:32,22.2835,79.5319,Theft,Medium,Davidview,Cloudy,11792,1513,Night,Wednesday,Non-Holiday,FALSE,41-60,41-60,TRUE,FALSE,FALSE,3,29,TRUE,4,Urban,Middle-income,High,School,23
89,1/17/2025 18:00,29.1641,77.2478,Fraud,Medium,Wagnerstad,Clear,11621,1795,Evening,Friday,Non-Holiday,TRUE,18-25,26-40,TRUE,TRUE,TRUE,2,6,TRUE,6,Suburban,High-income,Medium,School,44
90,1/2/2025 16:54,27.4784,72.0415,Burglary,Low,North Kellyberg,Rainy,20587,1077,Afternoon,Sunday,Non-Holiday,FALSE,41-60,18-25,TRUE,TRUE,TRUE,2,18,TRUE,0,Suburban,Middle-income,Low,Train Station,57
91,1/14/2025 8:22,19.4121,74.3871,Burglary,Low,Boyleview,Rainy,14324,1030,Night,Tuesday,Non-Holiday,FALSE,26-40,18-25,FALSE,TRUE,FALSE,3,27,TRUE,0,Rural,Middle-income,Medium,Hospital,44
92,1/8/2025 22:30,27.3301,73.404,Fraud,Medium,South Ambermouth,Rainy,21884,771,Morning,Thursday,Holiday,TRUE,26-40,60+,FALSE,TRUE,TRUE,3,17,TRUE,7,Suburban,Middle-income,Medium,Hospital,47
93,1/8/2025 0:07,25.3017,74.0924,Theft,High,South Daniel,Clear,7035,1467,Morning,Thursday,Non-Holiday,TRUE,60+,41-60,TRUE,FALSE,FALSE,5,12,TRUE,2,Suburban,Low-income,Medium,Hospital,24
94,1/1/2025 17:20,23.5743,76.3939,Vandalism,High,North Christopher,Cloudy,12156,1660,Afternoon,Saturday,Holiday,FALSE,41-60,18-25,TRUE,TRUE,TRUE,5,22,TRUE,2,Suburban,High-income,Medium,School,44
95,1/9/2025 0:38,21.2594,76.6652,Robbery,High,South Deannaland,Rainy,6823,1028,Afternoon,Friday,Non-Holiday,FALSE,18-25,60+,FALSE,TRUE,FALSE,3,5,TRUE,9,Urban,Low-income,Medium,Train Station,45
96,1/9/2025 12:48,19.7014,79.953,Robbery,Medium,East Jacquelinestad,Clear,14407,937,Afternoon,Sunday,Holiday,FALSE,41-60,60+,FALSE,FALSE,FALSE,1,26,TRUE,10,Suburban,Low-income,Low,Hospital,26
97,1/6/2025 16:24,24.8173,77.8229,Assault,Low,South Andrewstad,Clear,14776,1048,Night,Friday,Non-Holiday,TRUE,26-40,60+,FALSE,TRUE,FALSE,2,28,TRUE,0,Rural,Middle-income,High,School,16
98,1/2/2025 5:16,21.2669,72.8072,Robbery,Medium,West Richard,Cloudy,6595,601,Morning,Thursday,Non-Holiday,TRUE,26-40,18-25,TRUE,FALSE,TRUE,5,15,FALSE,3,Suburban,Low-income,High,Hospital,15
99,1/14/2025 2:07,23.5492,74.2012,Burglary,High,Lisamouth,Cloudy,10738,1382,Night,Friday,Non-Holiday,TRUE,41-60,60+,FALSE,FALSE,FALSE,2,14,FALSE,2,Rural,Middle-income,Low,Mall,20
100,1/12/2025 16:40,28.433,73.1548,Vandalism,Low,East Rachel,Cloudy,18522,953,Afternoon,Thursday,Holiday,FALSE,26-40,41-60,TRUE,FALSE,FALSE,1,22,TRUE,0,Suburban,Middle-income,High,Hospital,39
101,1/18/2025 17:13,19.435,72.5823,Burglary,High,Gomezland,Cloudy,23312,544,Night,Tuesday,Non-Holiday,FALSE,18-25,26-40,TRUE,TRUE,FALSE,2,27,TRUE,6,Urban,High-income,Medium,Train Station,25
102,1/5/2025 6:40,24.1288,77.1898,Theft,Medium,East Alexanderborough,Rainy,21803,1907,Night,Thursday,Holiday,FALSE,41-60,26-40,FALSE,FALSE,FALSE,1,23,TRUE,2,Urban,Middle-income,High,Hospital,38
103,1/2/2025 7:31,26.9201,74.3615,Assault,Medium,Jamesstad,Clear,17446,1266,Afternoon,Thursday,Non-Holiday,FALSE,60+,60+,FALSE,TRUE,FALSE,2,9,FALSE,2,Rural,High-income,Low,Hospital,3
104,1/2/2025 12:01,28.2298,72.5946,Fraud,Low,East Joshuamouth,Clear,18513,381,Afternoon,Monday,Holiday,TRUE,26-40,60+,FALSE,TRUE,FALSE,4,5,TRUE,8,Rural,Middle-income,Low,School,34
105,1/13/2025 14:39,26.9441,76.2859,Theft,Low,Mooneyville,Cloudy,19109,1751,Afternoon,Monday,Holiday,TRUE,26-40,26-40,FALSE,FALSE,FALSE,4,7,FALSE,6,Suburban,High-income,Low,Mall,20
106,1/19/2025 12:50,26.5245,78.7829,Fraud,High,Ashleytown,Clear,8063,930,Night,Thursday,Non-Holiday,TRUE,18-25,26-40,TRUE,FALSE,FALSE,3,23,TRUE,8,Urban,Low-income,Low,Hospital,31
107,1/9/2025 23:03,21.982,79.3933,Fraud,Medium,Moorefort,Cloudy,23465,1447,Morning,Tuesday,Non-Holiday,TRUE,26-40,26-40,FALSE,TRUE,FALSE,2,23,TRUE,9,Suburban,High-income,High,Train Station,25
108,1/11/2025 12:45,27.3117,73.1196,Fraud,High,Stephensport,Clear,21409,1626,Evening,Monday,Holiday,FALSE,26-40,18-25,FALSE,FALSE,FALSE,1,25,FALSE,7,Suburban,Low-income,Medium,Hospital,25
109,1/6/2025 7:48,23.7503,77.4376,Fraud,Medium,Shawland,Clear,14678,1734,Afternoon,Saturday,Holiday,TRUE,41-60,26-40,FALSE,TRUE,FALSE,3,16,TRUE,1,Urban,Middle-income,Medium,Train Station,49
110,1/11/2025 6:35,21.9674,73.0601,Assault,Medium,Port Gilbert,Rainy,23251,1236,Night,Monday,Holiday,TRUE,41-60,18-25,FALSE,FALSE,TRUE,3,18,FALSE,1,Rural,High-income,Low,Hospital,34
111,1/11/2025 10:20,20.8654,75.0459,Assault,Medium,Douglasborough,Rainy,13795,1109,Afternoon,Monday,Holiday,FALSE,41-60,60+,FALSE,FALSE,TRUE,3,13,TRUE,10,Suburban,High-income,High,Mall,30
